league,id,num_id,name,logo_url,primary,secondary,tertiary,quaternary
MLB,mlb-diamondbacks,101,Arizona Diamondbacks,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png,#A71930,#E3D4AD,#000000,#3FC2CC
MLB,mlb-braves,102,Atlanta Braves,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,#13274F,#CE1141,#EAAA00,#FFFFFF
MLB,mlb-orioles,103,Baltimore Orioles,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,#DF4601,#000000,#FFFFFF,#A1AAAD
MLB,mlb-redsox,104,Boston Red Sox,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,#BD3039,#0D2B56,#FFFFFF,#A1AAAD
MLB,mlb-cubs,105,Chicago Cubs,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,#0E3386,#CC3433,#FFFFFF,#A1AAAD
MLB,mlb-whitesox,106,Chicago White Sox,https://a.espncdn.com/i/teamlogos/mlb/500/cws.png,#27251F,#C4CED4,#FFFFFF,#000000
MLB,mlb-reds,107,Cincinnati Reds,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,#C6011F,#000000,#FFFFFF,#A1AAAD
MLB,mlb-guardians,108,Cleveland Guardians,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,#00385D,#E50022,#FFFFFF,#A1AAAD
MLB,mlb-rockies,109,Colorado Rockies,https://a.espncdn.com/i/teamlogos/mlb/500/col.png,#33006F,#C4CED4,#000000,#FFFFFF
MLB,mlb-tigers,110,Detroit Tigers,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,#0C2340,#FA4616,#FFFFFF,#A1AAAD
MLB,mlb-astros,111,Houston Astros,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png,#002D62,#EB6E1F,#FFFFFF,#A1AAAD
MLB,mlb-royals,112,Kansas City Royals,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,#004687,#BD9B60,#FFFFFF,#000000
MLB,mlb-angels,113,Los Angeles Angels,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,#BA0021,#003263,#C4CED4,#FFFFFF
MLB,mlb-dodgers,114,Los Angeles Dodgers,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png,#005A9C,#FFFFFF,#EF3E42,#A1AAAD
MLB,mlb-marlins,115,Miami Marlins,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png,#00A3E0,#EF3340,#ACACAC,#000000
MLB,mlb-brewers,116,Milwaukee Brewers,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,#12284B,#FFC72C,#FFFFFF,#A1AAAD
MLB,mlb-twins,117,Minnesota Twins,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,#002B5C,#D31145,#B9975B,#FFFFFF
MLB,mlb-mets,118,New York Mets,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png,#002D72,#FF5910,#FFFFFF,#A1AAAD
MLB,mlb-yankees,119,New York Yankees,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png,#FFFFFF,#003087,#E1E1E1,#000000
MLB,mlb-athletics,120,Oakland Athletics,https://a.espncdn.com/i/teamlogos/mlb/500/oak.png,#003831,#EFB21E,#FFFFFF,#A1AAAD
MLB,mlb-phillies,121,Philadelphia Phillies,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png,#E81828,#002D72,#FFFFFF,#A1AAAD
MLB,mlb-pirates,122,Pittsburgh Pirates,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png,#27251F,#FDB927,#FFFFFF,#A1AAAD
MLB,mlb-padres,123,San Diego Padres,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png,#2F241D,#FFC72C,#FFFFFF,#A1AAAD
MLB,mlb-giants,124,San Francisco Giants,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png,#FD5A1E,#27251F,#EFD19F,#FFFFFF
MLB,mlb-mariners,125,Seattle Mariners,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png,#0C2C56,#005C5C,#C4CED4,#FFFFFF
MLB,mlb-cardinals,126,St. Louis Cardinals,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png,#C41E3A,#0A2240,#FEDB00,#FFFFFF
MLB,mlb-rays,127,Tampa Bay Rays,https://a.espncdn.com/i/teamlogos/mlb/500/tb.png,#092C5C,#8FBCE6,#F5D130,#FFFFFF
MLB,mlb-rangers,128,Texas Rangers,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png,#003278,#C0111F,#FFFFFF,#A1AAAD
MLB,mlb-bluejays,129,Toronto Blue Jays,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png,#134A8E,#1D2D5C,#E8291C,#FFFFFF
MLB,mlb-nationals,130,Washington Nationals,https://a.espncdn.com/i/teamlogos/mlb/500/was.png,#AB0003,#14225A,#FFFFFF,#AB0003
NBA,nba-hawks,301,Atlanta Hawks,https://a.espncdn.com/i/teamlogos/nba/500/atl.png,#E03A3E,#C1D32F,#26282A,#FFFFFF
NBA,nba-celtics,302,Boston Celtics,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,#007A33,#BA9653,#000000,#FFFFFF
NBA,nba-nets,303,Brooklyn Nets,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png,#000000,#FFFFFF,#707271,#222222
NBA,nba-hornets,304,Charlotte Hornets,https://a.espncdn.com/i/teamlogos/nba/500/cha.png,#1D1160,#00788C,#A1A1A4,#FFFFFF
